School Name, Address
Anacostia High School,"1601 16th St SE, Washington, DC 20020"
Ballou High School,"3401 4th St SE, Washington, DC 20032"
Calvin Coolidge High School,"6315 5th St NW, Washington, DC 20011"
Cardozo Education Campus,"1200 Clifton St NW, Washington, DC 20009"
Dunbar High School,"101 N St NW, Washington, DC 20001"
Eastern High School,"1700 East Capitol St NE, Washington, DC 20002"
H.D. Woodson Senior High School,"540 55th St NE, Washington, DC 20019"
MacArthur Blvd High School,"4530 MacArthur Blvd NW, Washington, DC 20007"
Theodore Roosevelt High School,"4301 13th St NW, Washington, DC 20011"
Jackson-Reed High School,"3950 Chesapeake St NW, Washington, DC 20016"
