School Name,Address,School Zone
Amidon-Bowen Elementary School,"401 I St SW, Washington, DC 20024",Amidon-Bowen
Bancroft Elementary School,"1755 Newton St NW, Washington, DC 20010",Bancroft
Beers Elementary School,"3600 Alabama Ave SE, Washington, DC 20020",Beers
Brent Elementary School,"301 North Carolina Ave SE, Washington, DC 20003",Brent
Bunker Hill Elementary School,"1401 Michigan Ave NE, Washington, DC 20017",Bunker Hill
Burrville Elementary School,"801 Division Ave NE, Washington, DC 20019",Burrville
C.W. Harris Elementary School,"301 53rd St SE, Washington, DC 20019","Harris, C. W"
Cleveland Elementary School,"1825 8th St NW, Washington, DC 20001",Cleveland
Eaton Elementary School,"3301 Lowell St NW, Washington, DC 20008",Eaton
Garrison Elementary School,"1200 S St NW, Washington, DC 20009",Garrison
H.D. Cooke Elementary School,"2525 17th St NW, Washington, DC 20009","Cooke, H.D"
Hearst Elementary School,"3950 37th St NW, Washington, DC 20008",Hearst
Hendley Elementary School,"425 Chesapeake St SE, Washington, DC 20032",Hendley
Houston Elementary School,"1100 50th Pl NE, Washington, DC 20019",Houston
Hyde-Addison Elementary School,"3219 O St NW, Washington, DC 20007",Hyde-Addison
Janney Elementary School,"4130 Albemarle St NW, Washington, DC 20016",Janney
John Lewis Elementary School,"1335 Farragut St NW, Washington, DC 20011",Lewis
Ketcham Elementary School,"1919 15th St SE, Washington, DC 20020",Ketcham
Kimball Elementary School,"3375 Minnesota Ave SE, Washington, DC 20019",Kimball
Langdon Elementary School,"1900 Evarts St NE, Washington, DC 20018",Langdon
Lafayette Elementary School,"5701 Broad Branch Rd NW, Washington, DC 20015",Lafayette
Leckie Elementary School,"4201 Martin Luther King Jr Ave SW, Washington, DC 20032",Leckie
Maury Elementary School,"1250 Constitution Ave NE, Washington, DC 20002",Maury
Miner Elementary School,"601 15th St NE, Washington, DC 20002",Miner
Moten Elementary School,"1565 Morris Rd SE, Washington, DC 20020",Moten
Nalle Elementary School,"219 50th St SE, Washington, DC 20019",Nalle
Oyster-Adams Bilingual School,"2801 Calvert St NW, Washington, DC 20008",Oyster-Adams
Payne Elementary School,"1445 C St SE, Washington, DC 20003",Payne
Peabody Elementary School,"425 C St NE, Washington, DC 20002","Peabody-Watkins"
Patterson Elementary School,"4399 South Capitol Terrace SW, Washington, DC 20032",Patterson
Powell Elementary School,"1350 Upshur St NW, Washington, DC 20011",Powell
