"block key","route id","road segment length","actual crashes 2022","predicted crashes","aadt 2022","travel lane width","speed limit","difference","geom"
"34aff18001cc26b963e031ae2f74570a",11057852,126.08371,112,166.64763,13531,7,20.0,-54.647633,"LINESTRING Z(-77.0532981615334 38.90526482939668 0, -77.05339664360586 38.90526609063787 0, -77.05340379168075 38.90526617745411 0, -77.05429763731526 38.90526423402522 0, -77.0544374744503 38.90526595260408 0, -77.05463040983085 38.90526171870171 0, -77.05475155502833 38.90525906758402 0)"
"352dde586b6ecb4841d2dcb584d9175d",11051352,142.04102,14,116.57435,5384,11,25.0,-102.57435,"LINESTRING Z(-77.02432392846316 38.94404964156637 0, -77.0242876087857 38.94409829386768 0, -77.0242593601748 38.94413631470406 0, -77.0242329562691 38.944171632664954 0, -77.02365102903029 38.94495916613736 0, -77.02363903758348 38.94497556364224 0, -77.02351670089382 38.94514116059936 0, -77.02350459406036 38.94515764819593 0)"
"354f2636f89ebac6559ad7f601ffd444",11088012,149.634,70,108.47115,4415,10,25.0,-38.47115,"LINESTRING Z(-77.02162403899739 38.94198970637812 0, -77.0217320055754 38.9419868037008 0, -77.0217645339559 38.9419858968192 0, -77.02215269387264 38.941973491546406 0, -77.02230309700714 38.941968679541645 0, -77.02281199224295 38.9419527447539 0, -77.02302079632668 38.94194619982946 0, -77.02324157362493 38.941939490002596 0, -77.02334861714495 38.941936225683996 0)"
"3566a0f138fdcc8aab1b07eefb6a903c",11000602,116.74799,231,136.89511,8804,9,20.0,94.10489,"LINESTRING Z(-77.0199207659086 38.901476780753114 0, -77.01991680208427 38.901648931150106 0, -77.01991404564781 38.90176874277803 0, -77.01991480438747 38.902008815374856 0, -77.01991614783583 38.902278525355655 0, -77.0199123588867 38.90241655204311 0, -77.0199093004264 38.90252832825198 0)"
"35a23a36e98764a9058038d8529010e2",12001102,89.52558,63,72.03047,1573,8,25.0,-9.030469,"LINESTRING Z(-76.9915292220994 38.9025194485612 0, -76.99152863538009 38.90260610890518 0, -76.99152639493828 38.90293008525275 0, -76.99152476452893 38.90316516717704 0, -76.99152464357046 38.90321291145072 0, -76.99152416900235 38.903325876188546 0)"
"35b6a5763e8aa3e46578f939c7cfa434",12081442,56.581707,63,242.88762,35425,10,20.0,-179.88762,"LINESTRING Z(-76.96057053777844 38.92207189546059 0, -76.96065734853327 38.92213527125724 0, -76.96095851240466 38.92234583374115 0, -76.96105699279674 38.92241148323304 0)"
"35dd82bc62a24d7582533c46ecf99398",12001302,64.36608,0,91.03322,3380,10,20.0,-91.03322,"LINESTRING Z(-76.98832274357413 38.88980267367501 0, -76.98831918184342 38.889943672428984 0, -76.988315585743 38.89008330190267 0, -76.9883030303839 38.89038226162041 0)"
"35e1be4249043d6c0673e415bc936572",13092882,100.44335,308,126.32161,7600,11,20.0,181.67839,"LINESTRING Z(-76.98825069418712 38.83266002124833 0, -76.9881647842751 38.83260379976171 0, -76.98796624772146 38.832473607173824 0, -76.9879350394347 38.832452434064244 0, -76.98790360075974 38.832431621260824 0, -76.98787193172681 38.832410988594205 0, -76.9878400323359 38.83239053606422 0, -76.98780790255627 38.83237044383989 0, -76.98777542726111 38.832350441655116 0, -76.9877428367496 38.83233079978768 0, -76.98770990070702 38.832311338043944 0, -76.98767673429045 38.83229214652046 0, -76.98764345267239 38.83227322522915 0, -76.98761270446228 38.832256646397695 0, -76.98758184106262 38.832240247715056 0, -76.9875507473007 38.83222402916894 0, -76.98751942316055 38.832208080843756 0, -76.98748798383048 38.832192312667075 0, -76.98745642931014 38.83217672463874 0, -76.98744986503469 38.83217357097097 0, -76.9874246444112 38.83216140683094 0, -76.98739274432162 38.83214626917128 0, -76.98736061386897 38.832131311647174 0, -76.9873283682095 38.832116624355585 0)"
"3608db99fef3f753fff6c81b9fafbd8b",12031982,210.19823,49,145.61845,9913,14,25.0,-96.618454,"LINESTRING Z(-76.99263761775374 38.95803647615093 0, -76.99274329362399 38.958118818270165 0, -76.99288081106437 38.95822593495493 0, -76.9930797044316 38.95838124932236 0, -76.9931302008754 38.95842065443472 0, -76.99324964128104 38.95851386086075 0, -76.99327779109719 38.95853584263938 0, -76.99370673201147 38.95886881182804 0, -76.99404126927647 38.959130942701016 0, -76.99424389412357 38.959289705413624 0, -76.99426604527225 38.959307092443076 0, -76.99434715088428 38.959370604622116 0, -76.99435280405567 38.95937501894243 0)"
"367948b27f916a9306e74cefb6ace71d",11038612,84.53181,49,98.150345,4263,12,20.0,-49.150345,"LINESTRING Z(-77.0189335787541 38.89832221703227 0, -77.01919281768608 38.898318391211816 0, -77.0194016115478 38.89831878911972 0, -77.01958234643189 38.89831913731155 0, -77.01990795219696 38.898317550850024 0)"
"3680672ce6cd2008173c578088fd8e1e",11016382,152.933,14,131.27011,8119,10,20.0,-117.27011,"LINESTRING Z(-77.01425251961247 38.96866872991432 0, -77.01430711952631 38.9687633998804 0, -77.01431439184864 38.968776100612864 0, -77.01450647574086 38.969117939746816 0, -77.01468101545257 38.969430233713375 0, -77.01487829681841 38.96977774673151 0, -77.01491200492761 38.96983899847679 0, -77.01496199005437 38.969930065407226 0)"
"36816f898d520660609588b81f1497bd",12001702,125.05697,63,133.1489,8000,10,21.6,-70.148895,"LINESTRING Z(-76.98076631794811 38.88980781768351 0, -76.98076628744887 38.889920962889924 0, -76.98076466154795 38.89039372220728 0, -76.98076477682184 38.89060748197315 0, -76.98076488869167 38.890833871472395 0, -76.98076488378611 38.890852068389414 0, -76.98076596818 38.89093431503235 0)"
"370ccbf0eae0c0c08b702e5ecde10761",11025152,192.89796,322,218.8076,19818,9,30.0,103.19241,"LINESTRING Z(-77.06073650739702 38.93939721246475 0, -77.06080027244987 38.939507711111474 0, -77.060810322365 38.93952509189542 0, -77.06101131784307 38.9398682032348 0, -77.06122641388723 38.94024193502556 0, -77.06142995569215 38.94059044924303 0, -77.06156488188132 38.94082225175252 0, -77.06160797072977 38.94089636731027 0, -77.06162010033974 38.940917260158706 0, -77.0616562119093 38.94097939834458 0)"
"373b1ab36fd08912d85c56a123ae7c44",11004202,180.52505,21,92.24915,2919,9,25.0,-71.24915,"LINESTRING Z(-77.08205236778444 38.94629211149832 0, -77.08204995524612 38.94630076114653 0, -77.08204605748053 38.94632193335503 0, -77.0820440055258 38.94634319435071 0, -77.08204368402676 38.94636454421459 0, -77.08204369211357 38.946371570672156 0, -77.08204343679586 38.946550655577106 0, -77.08204342252702 38.946939182941236 0, -77.08204513548618 38.94722474437109 0, -77.08204296997927 38.94744806126316 0, -77.08204518073936 38.94766497919262 0, -77.08204479285038 38.947829110395055 0, -77.08204454879431 38.947917752076414 0)"
"374fd88170319ad4fedd2733d21377c3",11040042,39.74871,70,192.38171,14945,10,30.0,-122.38171,"LINESTRING Z(-77.02261452076834 38.92481374390976 0, -77.02262526898795 38.92488706955097 0, -77.02264271999746 38.92500471482305 0, -77.02265531778535 38.92509173274571 0, -77.02266664410512 38.9251694723436 0)"
"375b3451240b07b7b11fa3539b816f3e",11062532,68.48187,0,123.44323,7798,16,21.6,-123.44323,"LINESTRING Z(-77.03649049113227 38.92653307569721 0, -77.03670970588342 38.927125709241025 0)"
"376da4044b73c3c12ca4caaddd008710",11057852,84.07714,14,82.61669,2544,8,20.0,-68.61669,"LINESTRING Z(-77.01893411807107 38.90565213708731 0, -77.0190517727572 38.90565262242644 0, -77.01914533157895 38.90565300349833 0, -77.01941119247886 38.90565169845562 0, -77.01959335239053 38.90565166804553 0, -77.01973346547696 38.90565104090204 0, -77.01976133129911 38.90565091908306 0, -77.01990339297028 38.90565089496567 0)"
"37a4a94bbfb32835ea1db2ba908c23b9",11064222,154.01865,133,187.70563,14090,10,30.0,-54.705624,"LINESTRING Z(-77.02250465770221 38.93874832021566 0, -77.0216129116729 38.939948231254874 0)"
